id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1YLfH44PcVWsuvdiOC8CP7,Rockin' Chair (Live) - 2001 Remastered,2,310867,0,['Louis Armstrong'],['19eLuQmk9aCobbVDHc6eek'],1930,0.33899999999999997,0.386,1,-12.009,1,0.0625,0.9690000000000001,0.00047300000000000006,0.7490000000000001,0.368,78.27,4
2fbcXiH9fC3IldV22OREE6,Κρητικός,0,178907,0,['Λαϊκή Ορχήστρα Μιχάλη Φελουζή'],['3bSUaf7nLlT8LK9SONYBLC'],1930-01-01,0.23600000000000002,0.33299999999999996,7,-13.854000000000001,1,0.055999999999999994,0.992,0.000036700000000000004,0.278,0.546,81.155,4
0IXWEJvEMtlJxKhYHO8ZJj,Chapter 15.16 & Chapter 16.1 - Kariera Nikodema Dyzmy,0,133220,0,['Tadeusz Dolega Mostowicz'],['4eeMulNeqpZGBxybCxZOdC'],1932-12-23,0.6890000000000001,0.27,1,-21.686,1,0.951,0.47100000000000003,0.00000641,0.35100000000000003,0.40700000000000003,103.926,3
5cCmsEJPCguqbREwAWuB7f,Chapter 16.10 - Kariera Nikodema Dyzmy,0,146600,0,['Tadeusz Dolega Mostowicz'],['4eeMulNeqpZGBxybCxZOdC'],1932-12-23,0.715,0.237,9,-22.066,0,0.946,0.486,0,0.354,0.746,119.866,4
0iTUhFMln4XKpLmek9wi4r,La Mariposa,0,181493,0,"['Carlos Gardel', 'Francisco Canaro Y Su Orquesta Tipica']","['05Q9xndTxhXhD5trpmTtfU', '66vYcFTYX0PoYsOOURFaGf']",1933-01-01,0.606,0.17600000000000002,8,-17.165,1,0.303,0.993,0.12300000000000001,0.11699999999999999,0.6940000000000001,87.56200000000001,5
0vkoKV5iV35KDHOQXF2KIH,Honeysuckle Rose,13,185067,0,"['Bunny Berigan', 'Tommy Dorsey', 'Fats Waller', 'Dick McDonough', 'George Wettling']","['5mzFDFweHwx7BZFmMtdll7', '4WoGga7UeRcmjD4ufif4nG', '0DYWCXTkNqGFZIf67SrWEa', '56yeY09668gasaayysXiS5', '1i7xg21iHtAGYO57o58Ao7']",1934,0.638,0.637,5,-9.097000000000001,1,0.0578,0.953,0.878,0.0418,0.8909999999999999,109.43299999999999,4
1MlGTXdgRgEB92jrMMJLFJ,Están de Fiesta en la Estancia - Remasterizado,0,186493,0,"['Francisco Canaro', 'Ernesto Fama']","['2maQMqxNnlRrBrS1oAsrX9', '0nRShN4m4GvQv1O4igorb6']",1934-01-10,0.638,0.31,7,-13.533,1,0.319,0.995,0.746,0.226,0.961,146.584,3
1Z5tz9nGJ7PwVy8cKOwJJU,E Dukkha Ranga Dinguli Sab,0,197320,0,['Ila Ghosh'],['31cknSfqfr3XEvkrKibVIG'],1934-12-01,0.292,0.204,8,-13.818,1,0.0532,0.9790000000000001,0.83,0.106,0.45299999999999996,180.976,3
1mjyCcWbYyWyKnidNT9f0I,Stupid - LOL Edit,2,235050,0,['Nomy'],['20bAxKr0YrCvceZeLqs37e'],1934-06-06,0.6509999999999999,0.748,8,-7.6979999999999995,1,0.0343,0.0217,0.00000949,0.174,0.785,95.024,4
2AxQLfds6YsTStEy2rH87t,Stars Fell On Alabama,1,203920,0,"['Richard Himber and his Orchestra', 'Joey Nash']","['3Rj3lY5R1BIFD3527AlLSN', '66gBsg5HOi1aavC6IyT2ha']",1934-07-01,0.299,0.428,5,-11.353,0,0.0475,0.8290000000000001,0.00421,0.312,0.301,120.155,4
1dDvZdThUKx9PAKLLvSqGN,The object of my affection,0,168773,0,['Garnet Clark'],['4E6WlE7vfS339cETifiDHM'],1935,0.725,0.36700000000000005,8,-10.624,1,0.0949,0.9390000000000001,0.00683,0.249,0.8170000000000001,96.05799999999999,4
64Nv2f3odBEUqQIdudDCWb,"Wie man Freunde gewinnt - Die Kunst, beliebt und einflussreich zu werden, Kapitel 3",25,516880,0,"['Dale Carnegie', 'Till Hagen', 'Stefan Kaminski']","['2njhRBeHTnFrRJHGpy5TLS', '5KnFJOHSRzAwlcXRZfLwb5', '0JSxbQaj2iegWrm6EGsD8p']",1936,0.705,0.40299999999999997,10,-12.982999999999999,0,0.929,0.37,0,0.126,0.442,106.316,5
068aQEtRIwGmLkcv1WVXz6,I'm A Steady Rollin' Man,10,158080,0,['Robert Johnson'],['0f8MDDzIc6M4uH1xH0o0gy'],1936,0.684,0.19899999999999998,4,-11.845,0,0.0417,0.9640000000000001,0.00115,0.115,0.5870000000000001,100.845,4
0PwKT0x70zqLElxt35XMyS,Chapter 11.3 - Doktor Murek zredukowany,0,130200,0,['Tadeusz Dolega Mostowicz'],['4eeMulNeqpZGBxybCxZOdC'],1936-11-27,0.7090000000000001,0.284,11,-23.209,1,0.9520000000000001,0.28800000000000003,0,0.23399999999999999,0.59,124.928,4
54zbfwVmi21RzRxpUhEcDK,Hanging Out with Django,0,202787,0,['Sonny Davis'],['47GqH3B5P9SkgzhjVTcq4K'],1937,0.77,0.647,9,-9.433,1,0.0403,0.74,0.848,0.126,0.96,114.014,4
417MKLwteYW0fGPVKLcO62,"Quatuor à cordes No. 16 in E-Flat Major, K. 428: III. Menuetto (Allegro) - Trio",0,359560,0,"['Wolfgang Amadeus Mozart', 'Juilliard String Quartet']","['4NJhFmfw43RLBLjQvxDuRS', '10viy7E6l3QXaWVz1PuGGP']",1938,0.39299999999999996,0.0742,3,-19.264,1,0.0454,0.946,0.0254,0.0774,0.608,150.067,3
6GNLqQPhUKFxzLt7EgBR5e,When I Was a Cowboy,19,177747,0,['Lead Belly'],['3Ovf2lytXSXWFM2cwsJACC'],1939-09-03,0.71,0.373,4,-14.467,1,0.0598,0.99,0.000932,0.18600000000000003,0.961,104.77600000000001,4
1p7C97Xibwh0jL85jhdOZv,Toto Brings News / Over the Rainbow Reprise - Extended Version / Outtake,18,183173,0,"['Judy Garland', 'MGM Studio Orchestra']","['0hItVPjwJLVZrFqOyIsxPf', '2EjrRJZBrUhYqcgmYF69N1']",1939-08-25,0.37200000000000005,0.265,1,-14.667,1,0.0465,0.925,0.0556,0.147,0.244,90.72,3
0NYzWv8gXCfhGYGDs84aVh,Mia vlaxa painemeni,0,207987,0,['Georgia Mitaki'],['2TqDWDGPLnF5wv28moXsvo'],1940-01-01,0.39,0.513,2,-11.219000000000001,0,0.0404,0.8190000000000001,0.409,0.252,0.795,106.43299999999999,3
2jdS8TnwFHOR7ieCWaaKcX,Winter Weather - Mono Recording,17,180427,0,"['Peggy Lee', 'Benny Goodman']","['602DnpaSXJB4b9DZrvxbDc', '1pBuKaLHJlIlqYxQQaflve']",1941,0.733,0.431,8,-10.187000000000001,1,0.053,0.9109999999999999,0.0151,0.292,0.893,153.96200000000002,4
02Xj4ntmZPM6KBdnBEJRli,Mulato Anti-Metropolitano,0,154960,0,['Carmen Miranda'],['7iSJhi05cFvFylzw921y3H'],1941,0.695,0.23399999999999999,0,-18.041,0,0.115,0.922,0.0000758,0.16,0.898,91.02,1
6bZcC6oZhkI0Id0JarcKOK,Wa Alla Mahdech Ganbe,0,413245,0,['Om Kalthom'],['1Nixbo6A4EFCaadFhZAIFA'],1941-01-01,0.341,0.46,4,-11.502,0,0.0988,0.938,0.00024300000000000002,0.789,0.294,139.194,4
16RIjwz0SN6hqZdtPUDjx8,Gay Divorce: The Continental,7,158296,0,"['Jerry Mengo', 'Stéphane Grappelli', 'Django Reinhardt', 'Quintette du Hot Club de France']","['4r2LpY2jNMq1zc3nostR5o', '6AfbDYupHV5e6nse9W6tKG', '5Z1XZyEFY0dewG8faEIiEx', '6ufQwLbg8fB1I6aRQb3aUn']",1942-01-01,0.6859999999999999,0.19699999999999998,2,-17.403,1,0.20800000000000002,0.777,0.0256,0.13699999999999998,0.6829999999999999,107.37100000000001,4
0D1exV2WQ0XNSv06o5uxnQ,寒夜的街燈,2,170800,0,['白光'],['7thwsuVqcX7BytxdLNT51E'],1942-05-01,0.304,0.225,7,-13.817,0,0.0348,0.991,0.29,0.33299999999999996,0.414,105.42399999999999,4
0MuSpgLHoQmiXKSs48rWK6,"Estampes, L. 100: II. La soirée dans Grenade",0,272813,0,"['Claude Debussy', 'Oscar Levant']","['1Uff91EOsvd99rtAupatMP', '0cXLIzzlld2GM0hBiYWzdV']",1942,0.335,0.0223,6,-25.67,1,0.0359,0.9940000000000001,0.917,0.0912,0.0374,133.709,3
4SWSQNCimGCOOQjl5nO4wK,Aaya Dulhan Main Lene Ko,0,204330,0,"['Tara', 'Rafique Ghaznavi']","['24JAAnBviO3vTMZ5N9taj8', '7xb89qKYDyDlu9EWB2YWWo']",1942-12-31,0.679,0.125,0,-10.211,1,0.337,0.995,0.0744,0.40399999999999997,0.6,72.566,3
2H5I2jH11KCl7mT1DiNpIO,Old Man,0,153731,0,['Lead Belly'],['3Ovf2lytXSXWFM2cwsJACC'],1943,0.396,0.287,5,-14.405999999999999,1,0.147,0.614,0,0.45399999999999996,0.736,211.545,4
7bk4Y8EqmasPn6UOctTXHu,Bande Apna Mol Chukana,0,177745,0,['K.C.Dey'],['7ykRjZ7hLVJ0lfysVIlO4I'],1943-01-01,0.484,0.24,6,-15.142000000000001,0,0.0489,0.9940000000000001,0.84,0.13,0.528,65.528,4
0e3ZilF1FcGfHIowqnwnrF,"Violin Concerto in E Minor, Op. 64, MWV O 14: II. Andante",0,473133,0,"['Felix Mendelssohn', 'Bruno Walter', 'New York Philharmonic']","['6MF58APd3YV72Ln2eVg710', '1p4YAX8Nh6LiW3uPd49oAR', '3gacryguGmpmCvgPGt2CBI']",1945,0.18,0.177,0,-19.148,1,0.0423,0.93,0.192,0.0948,0.0512,104.10799999999999,3
2993sRdYC9vhMpoak1sj1X,Lost Week-End (feat. Red Norvo) - 78rpm Version,3,172000,0,"['Woody Herman And His Woodchoppers', 'Red Norvo']","['1A7y5zJus5bCTBJkh0hue2', '6TDBjaKrCj3BvbxhiUSbog']",1945,0.7759999999999999,0.253,5,-16.224,0,0.0894,0.951,0.25,0.284,0.736,130.811,4
2DhRfX9AGgh2KHPBe3bGAf,"100b) No. 1, Mesoteric Series",1,539267,0,['G. I. Gurdjieff'],['4zFrWxrEffCBWEqNnZyB8T'],1948-04-15,0.158,0.10800000000000001,4,-25.136,0,0.062,0.991,0.948,0.27399999999999997,0.128,66.212,4
2g9BpmpKv7exsTr2f44a37,"A Night on Bald Mountain, IMM 43 - Remastered",0,521413,0,"['Modest Mussorgsky', 'Fritz Reiner', 'Pittsburgh Symphony Orchestra']","['284mnx33IWcymQEpMxyfHl', '4nsMLwMcViXAqwTLJ71y8i', '7oOCHAPJjD7IARb5hrzvw9']",1948,0.396,0.26,2,-16.057000000000002,1,0.0498,0.9490000000000001,0.32,0.107,0.0979,123.88799999999999,4
7fMzfMEYgi93UGLjRYEzoy,The Christmas Song,13,174813,0,['Bing Crosby'],['6ZjFtWeHP9XN7FeKSUe80S'],1949-01-01,0.226,0.165,9,-14.536,1,0.0373,0.924,0.325,0.166,0.18899999999999997,78.164,4
0bqWDQobe4ylRPobA1uLrE,"Enigma Variations, Op. 36: Variation 4: W.M.B.",0,29507,0,"['Edward Elgar', 'Philharmonia Orchestra', 'Andrew Davis']","['430byzy0c5bPn5opiu0SRd', '09KZU0NsS7jRa5p0SflmGY', '1Q9HCWdqbiui9pOsDtYkXW']",1949,0.466,0.452,2,-14.697000000000001,0,0.0479,0.972,0.752,0.195,0.7709999999999999,108.684,1
0eGMBwA3uLjH0og6K5I9H2,Valencia,1,135667,0,"['Clifford Grey', 'Jose Padilla', 'Mario Lanza', 'Ray Sinatra']","['4ZFmWlnGr84EcUfPBWxCGJ', '5GIhkUoRbx39bXEyEeAyQP', '6umNMJq7B8UdOVmwPV6PRL', '44jf6NjQMOVWTGvwVnCQJf']",1949,0.526,0.612,8,-8.167,1,0.057,0.9470000000000001,0.000567,0.16,0.764,124.37100000000001,4
0rW8A0BB1dSmohxAg8U8Vm,Hay Re Pyare Pyare Nyare Nyare,0,181880,0,['Shamshad Begum'],['0Ury0QIiBOlJmsdYUiCTfQ'],1949-01-01,0.716,0.396,6,-9.978,1,0.0722,0.924,0.11,0.183,0.943,107.773,4
0s6xQ1bwaRdk3ny0XUxETc,My One And Only,24,196960,0,['Ella Fitzgerald'],['5V0MlUE1Bft0mbLlND7FJz'],1950-09-11,0.635,0.0984,10,-12.335,0,0.0509,0.9840000000000001,0,0.0971,0.462,117.81200000000001,4
5WP7DwzKzzVxg0PeGb9A0H,Eu Agora Fiquei Mal,6,163533,0,"['Noel Rosa', 'Canuto']","['2rF7JpzIpgWtpVMuPouhIl', '7z7ypMzxvzwVmO748alA9S']",1950,0.557,0.13,6,-15.59,1,0.281,0.996,0.84,0.121,0.584,73.57600000000001,3
0D74FN6zc9w32aW326nfpu,"Sonata No. 5, Op. 24 ""Spring"" in F: Rondo: allegro ma non troppo",1,342840,0,"['Ludwig van Beethoven', 'Jascha Heifetz']","['2wOqMjp9TyABvtHdOSOTUS', '7yaBUcdjmqPP2vIv6F5bFD']",1950,0.374,0.231,5,-15.185,1,0.0401,0.9670000000000001,0.444,0.12300000000000001,0.568,87.206,4
0ZoZo7LPs2O9pli9CCgRuX,Madame de... (1952) La comtesse endettée,0,180242,0,"['Georges Van Parys', 'Danielle Darrieux']","['0sYvy5yLBNuXbAS6uxwVS1', '0rXWDNIIsY8BC0Vl4R7pEp']",1950-02-01,0.33,0.35200000000000004,9,-12.338,1,0.0819,0.9790000000000001,0.293,0.40700000000000003,0.0963,79.055,1
000mGrJNc2GAgQdMESdgEc,"Symphony in B-Flat Major, Op. 20: II. Très lent - Un peu plus vite",0,498560,0,"['Ernest Chausson', 'Pierre Monteux']","['4dadMoMQOTGa96FlnhEzCi', '5fL4LVKRLKkyN1Xalpt0xx']",1951,0.0753,0.15,2,-16.705,0,0.0371,0.302,0.884,0.121,0.0351,76.558,3
7g0vs2x9zd8FTRuAMTymo1,My Boy Willie - Version 2,7,85453,0,['Jean Ritchie'],['7cWhIVoEYJd0oWnxULFt8s'],1952,0.47200000000000003,0.0224,3,-20.453,1,0.0463,0.971,0,0.132,0.733,98.979,4
0sEIUe3YRKtFhQrJu7L0ku,"Silent Night, Holy Night",0,121253,0,['Jimmy Boyd'],['0kJqBwZ3YBkEJNRcUC1ewZ'],1952-01-01,0.239,0.0608,6,-15.636,1,0.0306,0.992,0.000398,0.10800000000000001,0.32799999999999996,84.90799999999999,3
0seAvS7Xe0WoVR8miWoJYf,"Hrály Dudy / Tluče Bubeníček / Já Mám Koně / Jede, Jede Poštovský Panáček - Národní Písně Pro Mateřské Školy",3,36309,0,"['Bohumil Kulínský', 'Dětský sbor Čs. rozhlasu']","['1PpNZnS3xCxYRwYtSOnXCg', '4LHHCENO0E0G0Fb0FQ5Ixj']",1952,0.5770000000000001,0.46399999999999997,7,-11.751,1,0.0454,0.986,0.000787,0.353,0.961,109.241,4
0J0ZRItewJU8uALydmRiP5,Μάτια γλυκά και γαλανά,0,195000,0,['Δημήτρης Μπαγιαντέρας'],['0XBk5XT0esSGzXhq11CG9V'],1953-01-01,0.589,0.213,7,-14.251,1,0.0735,0.992,0.0048,0.0604,0.55,118.52799999999999,4
0RiU7Qkb3AiD7EXVaNKzvU,"Don Quixote, Op. 35 - Fantastic Variations on a Theme of Knightly Character: Introduction",0,337720,0,"['Richard Strauss', 'Arturo Toscanini']","['6pAwHPeExeUbMd5w7Iny6D', '4xpgBZSojKNEQqQHXrwSXA']",1953,0.19399999999999998,0.0661,2,-24.728,1,0.0361,0.8909999999999999,0.254,0.10800000000000001,0.12,96.56200000000001,4
2SbK9kjLI9iploiiGrqvi4,I'd Cry Like A Baby,41,158373,0,['Dean Martin'],['49e4v89VmlDcFCMyDv9wQ9'],1954,0.55,0.187,10,-12.405999999999999,1,0.0324,0.9229999999999999,0,0.34299999999999997,0.513,84.868,4
21ircYQn2EHDABThYu3zr5,A City Called Heaven,17,168800,0,['Mahalia Jackson'],['6QBUIuGCAJSAtefEY1EEdB'],1954,0.285,0.0693,5,-18.164,0,0.0369,0.865,0.0000837,0.111,0.046,89.666,3
7psJ1ZoNbYjB1u0P2Czzr3,There! I've Said It Again,15,191797,0,['Nat King Cole Trio'],['3OpnoUqoRIHWbsFs4Nw0NQ'],1954-05-01,0.534,0.127,2,-13.54,0,0.0442,0.9209999999999999,0.00000144,0.114,0.147,136.79,4
5znJOW3PYpeXGvJsHUxQQt,Historia de un Amor,15,184137,0,['Los Hermanos Arriagada'],['46E2EFuD1UFO1H7az7hoB6'],1954-01-19,0.312,0.247,9,-15.372,0,0.0403,0.569,0,0.111,0.733,182.5,4
2VtUNKTvA6SXcBDtS5eNyZ,You Better Go Now - Live At Carnegie Hall/1947,11,175733,0,['Billie Holiday'],['1YzCsTRb22dQkh9lghPIrp'],1954-11-01,0.43700000000000006,0.165,10,-15.705,1,0.092,0.99,0.000028899999999999998,0.956,0.435,67.077,4
1pmzha8pf8WiNpbKoYoTWy,I Won't Mention It Again,8,216573,0,['Ray Price'],['5sAg1HZePcFfhrs0G8A8OP'],1954,0.373,0.32,5,-10.493,1,0.0271,0.6859999999999999,0.0466,0.0978,0.502,81.543,4
2YLnQ3BgnE7cj0ihZ4hLpS,"Waltzes, Op. 69: No. 2, in B Minor",8,263947,0,"['Frédéric Chopin', 'Arthur Rubinstein']","['7y97mc3bZRFXzT2szRM4L4', '5N1GUHhFMRFFgMTjSOJDb9']",1954,0.40399999999999997,0.0671,11,-23.357,0,0.0514,0.991,0.846,0.12300000000000001,0.23800000000000002,130.416,4
3VnQF5omDtIVQKNfPbjC2V,Smoke Gets in Your Eyes,8,208507,0,['Thelonious Monk'],['4PDpGtF16XpqvXxsrFwQnN'],1954-07-09,0.527,0.0989,3,-20.008,1,0.0491,0.996,0.948,0.125,0.54,77.32600000000001,4
7Lgsmas44BrABqhQFzFvpH,End Of A Love Affair,13,207027,0,['Helen Merrill'],['4JHlHSUko0ivu6fXYT8J2q'],1955-01-01,0.298,0.0865,4,-18.767,0,0.0338,0.9229999999999999,0.0000107,0.0795,0.174,91.402,3
2pWk9FZKwhR5c8Y90XvX76,Moanin' Low,8,162160,0,['Ella Fitzgerald'],['5V0MlUE1Bft0mbLlND7FJz'],1955-01-01,0.358,0.12300000000000001,5,-13.734000000000002,1,0.0328,0.841,0,0.0817,0.318,111.68799999999999,4
4lUzRhikhXN2GphkZCADzX,Matilda,44,215838,0,['Harry Belafonte'],['6Tw1ktF4xMmzaLLbe98I2z'],1956-01-20,0.605,0.434,1,-9.879,0,0.405,0.7020000000000001,0,0.0793,0.96,86.93799999999999,4
7FGNi8fY8Gj5ffzZH3TPzV,'S Wonderful,31,128587,0,"['Fred Astaire', 'Audrey Hepburn']","['4BtDAwCZhR6nPrJtbVgQNX', '16eV2TebyEhqaDRFEZJ9h8']",1957-02-13,0.20600000000000002,0.265,6,-11.526,0,0.0317,0.77,0.00172,0.17,0.132,140.619,4
6ZgaUtMlUzUf7SqbUUnfbu,Blue Train - Remastered 2003,58,644013,0,['John Coltrane'],['2hGh5VOeeqimQFxqXvfCUf'],1958,0.506,0.493,8,-7.7589999999999995,1,0.0427,0.7979999999999999,0.00355,0.307,0.584,134.77,4
7EAalVVPlKAfxU6yn0GUCY,São Jorge Guerreiro,24,162173,0,['J.B. De Carvalho'],['3Fhvm9tOzeZZcXWaVhLOCW'],1958,0.49200000000000005,0.634,1,-10.605,0,0.122,0.9470000000000001,0,0.807,0.631,130.91,4
6AxUkSoQ9zQdLlBGni4rpf,Oh Baby Doll,22,156360,0,['Chuck Berry'],['293zczrfYafIItmnmM3coR'],1958-03-01,0.769,0.882,8,-5.617999999999999,1,0.0304,0.605,0.00457,0.0923,0.9690000000000001,129.939,3
6BKDhictOhSE0IfsYNdG8a,One Way Ticket,34,142667,0,['Neil Sedaka'],['5N6GwJzOcOY5kv8p0NjhYL'],1959-06-12,0.624,0.759,9,-5.955,0,0.0386,0.5379999999999999,0,0.0439,0.91,124.615,4
0q0cKtWbDbAeVrtql6lkB2,I Forgot to Remember to Forget,22,148320,0,['Elvis Presley'],['43ZHCT0cAZBISjO8DG9PnE'],1959-07-24,0.679,0.47100000000000003,4,-12.642999999999999,1,0.0577,0.401,0.0000185,0.552,0.674,112.946,4
0ax6Xt2VFF6gMyPsyWSFeW,Happiness Is a Thing Called Joe,20,166064,0,['Gloria Lynne'],['2XThtYxaIaPS5o9soX7kAu'],1960,0.511,0.122,7,-13.787,1,0.0386,0.97,0.000229,0.431,0.38799999999999996,72.631,4
0PHqHvmg4TIaANfbsvDMTR,"Someday My Prince Will Come (feat. John Coltrane, Hank Mobley & Wynton Kelly)",43,542400,0,"['Miles Davis', 'John Coltrane', 'Hank Mobley', 'Wynton Kelly']","['0kbYTNQb4Pb1rPbbaF0pT4', '2hGh5VOeeqimQFxqXvfCUf', '5cbutZUQE7SUCA6MsEMbBv', '5ncBRFyyylFng7kQJaRXN0']",1961-12-11,0.516,0.309,0,-12.602,0,0.0331,0.813,0.00301,0.156,0.27699999999999997,152.066,3
03VROJGLQrXWhSIMk027vM,Tammy,25,183387,0,['Bert Kaempfert'],['2s6JabvZdqVQhfOsaxCSFX'],1961-01-01,0.142,0.24600000000000002,10,-7.782,1,0.0321,0.74,0.893,0.201,0.10099999999999999,92.59700000000001,4
5JFjNCoa2VZfI0AQWC4VaY,Cool Water,25,169627,0,['Frankie Laine'],['3cgO5CdhEHKMxldjZlP5ix'],1961-03-20,0.469,0.131,3,-16.593,1,0.0351,0.818,0,0.161,0.473,113.823,4
5hVBdtvmLB2b6Hw02YbYz7,La belle putain,20,121400,0,"['Michel Legrand', 'Agnes Varda', 'Corinne Marchand']","['1EtE0iSY6iFlN9L9c53ETy', '21rltIRStITaqWsR6pKUvF', '04upRmddDK0nZH0Xot3Lwe']",1962-01-02,0.598,0.5429999999999999,0,-10.944,0,0.0331,0.5760000000000001,0,0.0459,0.934,128.44,4
52FlwUMMDnTK8TGkCag9Jd,Stop! In The Name Of Love - Single Version,65,172907,0,['The Supremes'],['57bUPid8xztkieZfS7OlEV'],1965-07-23,0.612,0.444,0,-12.752,1,0.0293,0.531,0,0.126,0.503,114.961,4
2rNakbTYuJXunMCh3u2C04,Grand Waltz,39,141587,0,['Irwin Kostal'],['1HmcCckVaFw44DHhZKuKgN'],1965-01-01,0.39899999999999997,0.218,0,-10.722000000000001,1,0.027999999999999997,0.6679999999999999,0.49,0.0935,0.6579999999999999,186.43900000000002,3
3nmxAQPMze5IwuorneWKIL,96 Tears,3,141960,0,['Aretha Franklin'],['7nwUJBm0HE4ZxD3f5cy5ok'],2020-03-13,0.8390000000000001,0.541,0,-10.277000000000001,1,0.0342,0.294,0.000028300000000000003,0.0718,0.963,122.661,4
7sgIGtoXhzaR42Wm2Umuku,Try to Remember,39,173480,0,['Andy Williams'],['4sj6D0zlMOl25nprDJBiU9'],1966-07-22,0.23800000000000002,0.244,7,-13.992,1,0.0326,0.914,0.0968,0.122,0.32299999999999995,84.64200000000001,3
10IdU8PgujnWOe33sWQipV,Ruby Tuesday,38,196813,0,['The Rolling Stones'],['22bE4uQ6baNwSHPVcDxLCe'],1967-06-26,0.523,0.56,0,-10.780999999999999,1,0.0286,0.823,0.00000189,0.204,0.504,104.58200000000001,4
6LhWdm4JRfsL2L6twjhjaG,The Good Humor Man He Sees Everything Like This - 2015 Remaster,33,188202,0,['Love'],['3Q6OOkfssqoMSTtl11J5Uk'],1967,0.57,0.20199999999999999,7,-18.335,1,0.0296,0.0498,0.0267,0.19,0.519,108.391,4
1xTyfejmnulYD3fO390sz9,Greasy Heart,30,205853,0,['Jefferson Airplane'],['2qFr8w5sWUITRlzZ9kZotF'],1968,0.534,0.6579999999999999,2,-10.035,1,0.0395,0.26,0.00256,0.28800000000000003,0.752,118.771,4
6G7MHIvSDR3ehXPkuDFAlM,California Dreamin',66,200973,0,['Bobby Womack'],['0vqkz1b2qBkoYrGMj2CUWq'],1969-01,0.47,0.385,6,-13.159,0,0.0296,0.767,0.0653,0.179,0.6940000000000001,112.37700000000001,4
6Ip2Ia3DPgc9PJ6hcQW6Xa,Good Golly Miss Molly,53,161853,0,['Creedence Clearwater Revival'],['3IYUhFvPQItj6xySrBmZkd'],1969-01-05,0.5660000000000001,0.765,10,-7.551,0,0.0323,0.18,0.0133,0.136,0.9690000000000001,75.008,4
